Week,Car Index Change,VIX change,Google Trends,S&P,Tesla (Y_I),Raw Stock
1/29/2021 16:00:00,-0.08347951708,0.5102692834,46,3841.47,0,264.51
2/5/2021 16:00:00,0.09344742175,-0.3692958598,43,3714.24,1,284.08
2/12/2021 16:00:00,-0.01029654036,-0.04312410158,41,3886.83,0,272.04
2/19/2021 16:00:00,-0.000936329588,0.1041562344,50,3934.83,0,260.43
2/26/2021 16:00:00,0.000416536499,0.2675736961,45,3906.71,0,225.17
3/5/2021 16:00:00,-0.0005204538357,-0.1177101968,47,3811.15,0,199.32
3/12/2021 16:00:00,0.1260154135,-0.1609894566,40,3841.94,1,231.24
3/19/2021 16:00:00,-0.05105438402,0.01256645723,41,3943.34,0,218.29
3/26/2021 16:00:00,-0.08323586745,-0.09976133652,41,3913.1,0,206.24
4/1/2021 16:00:00,0.005634701255,-0.08112407211,39,3974.54,1,220.58
4/9/2021 16:00:00,0.03467596998,-0.03693017888,38,4019.87,1,225.67
4/16/2021 16:00:00,-0.03402472668,-0.02636309167,42,4128.8,1,246.59
4/23/2021 16:00:00,0.007827374656,0.06646153846,43,4185.47,0,243.13
4/30/2021 16:00:00,-0.03652392947,0.07386035776,35,4180.17,0,236.48
5/7/2021 16:00:00,0.03572984749,-0.1031703385,47,4181.17,0,224.12
5/14/2021 16:00:00,-0.05069415229,0.127022169,44,4232.6,0,196.58
5/21/2021 16:00:00,0.03789053844,0.07123870282,41,4173.85,0,193.63
5/28/2021 16:00:00,0.06159265585,-0.1682382134,37,4155.86,1,208.41
6/4/2021 16:00:00,0.1507290096,-0.02028639618,38,4204.11,0,199.68
6/11/2021 16:00:00,-0.02735057672,-0.04689403167,36,4229.89,1,203.3
6/18/2021 16:00:00,-0.06459437607,0.3226837061,38,4247.44,1,207.77
6/25/2021 16:00:00,0.05935459086,-0.245410628,37,4166.45,1,223.96
7/2/2021 16:00:00,0.03481414325,-0.03521126761,34,4280.7,1,226.3
7/9/2021 16:00:00,0.005431925705,0.07365627074,35,4352.34,0,218.98
7/16/2021 16:00:00,-0.08095155106,0.1402966625,33,4369.55,0,214.74
7/23/2021 16:00:00,0.04769128662,-0.06775067751,37,4327.16,0,214.46
7/30/2021 16:00:00,-0.01248868778,0.06046511628,34,4411.79,1,229.07
8/6/2021 16:00:00,-0.009347507331,-0.1145833333,33,4395.26,1,233.03
8/13/2021 16:00:00,0.01443108233,-0.04334365325,38,4436.52,1,239.06
8/20/2021 16:00:00,-0.1118001094,0.2012944984,35,4468,0,226.75
8/27/2021 16:00:00,0.02012320329,-0.1169181034,31,4441.67,1,237.31
9/3/2021 16:00:00,-0.09460547504,0.001220256254,31,4509.37,1,244.52
9/10/2021 16:00:00,-0.02723432637,0.2766605728,32,4535.43,1,245.42
9/17/2021 16:00:00,0.02445434807,-0.006682577566,32,4458.58,1,253.16
9/24/2021 16:00:00,0.02074735081,-0.1470446901,34,4432.99,1,258.13
10/1/2021 16:00:00,-0.008305103267,0.1915492958,34,4455.48,1,258.41
10/8/2021 16:00:00,0.06258953168,-0.1125295508,32,4357.04,1,261.83
10/15/2021 16:00:00,-0.007051747382,-0.1315929675,37,4391.34,1,281.01
10/22/2021 16:00:00,0.03425587467,-0.05337423313,52,4471.37,1,303.23
10/29/2021 16:00:00,-0.01252145814,0.05379131562,49,4544.9,1,371.33
11/5/2021 16:00:00,0.07526331936,0.0135301353,52,4605.38,1,407.36
11/12/2021 16:00:00,0.05763195435,-0.01152912621,45,4697.53,0,344.47
11/19/2021 16:00:00,-0.02059167341,0.09944751381,40,4682.85,1,379.02
11/26/2021 13:00:00,-0.03984575835,0.5979899497,40,4697.96,0,360.64
12/3/2021 16:00:00,-0.04580225665,0.07162823201,39,4594.62,0,338.32
12/10/2021 16:00:00,0.03397133981,-0.3906097163,38,4538.43,1,339.01
12/17/2021 16:00:00,-0.09245977903,0.1540930979,41,4712.02,0,310.86
12/23/2021 16:00:00,0.02755232806,-0.167362077,41,4620.64,1,355.67
12/31/2021 16:00:00,0.02920390771,-0.04120267261,45,4725.79,0,352.26
1/7/2022 16:00:00,0.07108956882,0.08943089431,38,4766.18,0,342.32
1/14/2022 16:00:00,-0.006882247572,0.02292110874,33,4677.03,1,349.87
1/21/2022 16:00:00,-0.1358458325,0.5033871808,42,4662.85,0,314.63
1/28/2022 16:00:00,-0.03427441503,-0.04124783362,36,4397.94,0,282.12
2/4/2022 16:00:00,-0.01558412012,-0.1605206074,37,4431.85,1,307.77
2/11/2022 16:00:00,-0.02923503582,0.1782945736,39,4500.53,0,286.67
2/18/2022 16:00:00,0.001785501726,0.01425438596,38,4418.64,0,285.66
2/25/2022 16:00:00,-0.02019961977,-0.005765765766,39,4348.87,0,269.96
3/4/2022 16:00:00,-0.07773465923,0.1591156216,54,4384.65,1,279.43
3/11/2022 16:00:00,-0.03905325444,-0.03846153846,50,4328.87,0,265.12
3/18/2022 16:00:00,0.126573618,-0.2237398374,50,4204.31,1,301.8
3/25/2022 16:00:00,-0.05878780517,-0.1281943863,48,4463.12,1,336.88
4/1/2022 16:00:00,-0.00838817912,-0.05670350793,47,4543.06,1,361.53
4/8/2022 16:00:00,-0.08524206143,0.07794192562,43,4545.86,0,341.83
4/14/2022 16:00:00,0.02560819462,0.07277882798,49,4488.28,0,328.33
4/22/2022 16:00:00,-0.03620474407,0.2427312775,50,4392.59,1,335.02
4/29/2022 16:00:00,-0.048791019,0.183977313,42,4271.78,0,290.25
5/6/2022 16:00:00,0.01694658799,-0.09610778443,45,4131.93,0,288.55
5/13/2022 16:00:00,-0.03689927094,-0.04372308711,46,4123.34,0,256.53
5/20/2022 16:00:00,-0.08419589062,0.01939729823,44,4023.89,0,221.3
5/27/2022 16:00:00,0.08080296896,-0.1260618417,43,3901.36,1,253.21
6/3/2022 16:00:00,-0.01716872171,-0.03615863142,44,4158.24,0,234.52
6/10/2022 16:00:00,-0.07559155153,0.1194029851,48,4108.54,0,232.23
6/17/2022 16:00:00,-0.07713451297,0.1218018018,44,3900.86,0,216.76
6/24/2022 16:00:00,0.08618763961,-0.1252810793,42,3674.84,1,245.71
7/1/2022 16:00:00,-0.05758354756,-0.01946382666,37,3911.74,0,227.26
7/8/2022 16:00:00,0.003455173668,-0.07715355805,36,3825.33,1,250.76
7/15/2022 16:00:00,0.02790866256,-0.01663961039,42,3899.38,0,240.07
7/22/2022 16:00:00,0.06752468265,-0.04952538176,36,3863.16,1,272.24
7/29/2022 16:00:00,0.05202312139,-0.07381676075,41,3961.63,1,297.15
8/5/2022 16:00:00,0.03547880691,-0.008438818565,40,4130.29,0,288.17
8/12/2022 16:00:00,0.08823529412,-0.07659574468,39,4145.19,1,300.03
8/19/2022 16:00:00,0.004597380886,0.0547875064,45,4280.15,0,296.67
8/26/2022 16:00:00,-0.03896824296,0.240776699,36,4228.48,0,288.09
9/2/2022 16:00:00,-0.07012987013,-0.003521126761,35,4057.66,0,270.21
9/9/2022 16:00:00,0.04298572315,-0.1052218296,34,3924.26,1,299.68
9/16/2022 16:00:00,-0.06516887368,0.1540149188,35,4067.36,1,303.35
9/23/2022 16:00:00,-0.1102976285,0.1376425856,35,3873.33,0,275.33
9/30/2022 16:00:00,-0.08747763864,0.05681818182,35,3693.23,0,265.25
10/7/2022 16:00:00,0.06841795726,-0.008222643896,32,3585.62,0,223.07
10/14/2022 16:00:00,-0.03412844037,0.02104591837,34,3639.66,0,204.99
10/21/2022 16:00:00,0.0702887538,-0.07276702061,32,3583.07,1,214.44
10/28/2022 16:00:00,0.1116435925,-0.1327046143,29,3752.75,1,228.52
11/4/2022 16:00:00,0.01325243494,-0.04660194175,34,3901.06,0,207.47
11/11/2022 16:00:00,0.04947998739,-0.08268839104,32,3770.55,0,195.97
11/18/2022 16:00:00,-0.03543543544,0.02664298401,31,3992.93,0,180.19
11/25/2022 13:00:00,0.02272727273,-0.1133217993,33,3965.34,1,182.86
12/2/2022 16:00:00,-0.06453576865,-0.07024390244,30,4026.12,1,194.86
12/9/2022 16:00:00,-0.02961275626,0.1977964323,38,4071.7,0,179.05
12/16/2022 16:00:00,-0.06673373575,-0.009198423127,48,3934.38,0,150.23
12/23/2022 16:00:00,-0.05856988861,-0.07736516357,49,3852.36,0,123.15
12/30/2022 16:00:00,0.008778625954,0.03833253474,48,3844.82,1,123.18
1/6/2023 16:00:00,0.0768066591,-0.02491924319,49,3839.5,0,113.06
1/13/2023 16:00:00,0.01054111033,-0.1315664931,48,3895.08,1,122.4
1/20/2023 16:00:00,-0.03198887344,0.08174386921,49,3999.09,1,133.42
1/27/2023 16:00:00,0.08171695402,-0.06750629723,47,3972.61,1,177.9
2/3/2023 16:00:00,0.05927278765,-0.009724473258,45,4070.56,1,189.98
2/10/2023 16:00:00,-0.01818181818,0.1200218221,45,4136.48,1,196.89
2/17/2023 16:00:00,0.02857598978,-0.02484169508,42,4090.46,1,208.31
2/24/2023 16:00:00,-0.08365668167,0.08241758242,46,4079.09,0,196.88
3/3/2023 16:00:00,0.04844173442,-0.1467466544,42,3970.04,1,197.79
3/10/2023 16:00:00,-0.1053311793,0.3412655489,37,4045.64,0,173.44
3/17/2023 16:00:00,-0.03665583243,0.02862903226,37,3861.59,1,180.13
3/24/2023 16:00:00,0.008997188379,-0.1477851823,38,3916.64,1,190.41
3/31/2023 16:00:00,0.09604309864,-0.1398344066,40,3970.99,1,207.46
4/6/2023 16:00:00,-0.04796610169,-0.01604278075,38,4109.31,0,185.06
4/14/2023 16:00:00,-0.02029553142,-0.0722826087,47,4105.02,0,185
4/21/2023 16:00:00,-0.03797928403,-0.01757469244,42,4137.64,0,165.08
4/28/2023 16:00:00,-0.01605591235,-0.05903398927,37,4133.52,0,164.31
5/5/2023 16:00:00,0.01036667307,0.08935361217,36,4169.48,1,170.06
5/12/2023 16:00:00,-0.01634049021,-0.009307737056,40,4136.25,0,167.98
5/19/2023 16:00:00,0.01680509948,-0.01291837933,39,4124.08,1,180.14
5/26/2023 16:00:00,0.006079027356,0.06781677573,37,4191.98,1,193.17
